Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
Scotland,field,South Africa,Sri Lanka,South Africa,Cape Town,"[3, 5, 1, 2, 4, 7, 7, 9, 7, 10, 10]",1.0,"[92.91, 79.56, 86.6, 32.8, 82.9, 72.27, 78.59, 118.96, 137.63, 32.42, 37.12]",0,41
Sri Lanka,bat,South Africa,Sri Lanka,South Africa,Gqeberha,"[2, 3, 4, 1, 4, 9, 9, 10, 10, 10, 10]",3.0,"[92.91, 75.92, 64.34, 86.6, 90.76, 56.98, 32.8, 78.59, 137.63, 69.78, 28.87]",6,0
South Africa,field,South Africa,Sri Lanka,South Africa,Durban,"[2, 3, 4, 1, 7, 4, 9, 10, 10, 10, 10]",3.0,"[92.91, 75.92, 64.34, 86.6, 56.98, 59.34, 78.59, 32.8, 137.63, 28.87, 36.11]",0,71
Sri Lanka,field,South Africa,Sri Lanka,South Africa,Centurion,"[2, 5, 2, 1, 2, 7, 9, 7, 10, 10, 10]",3.0,"[96.64, 130.92, 88.6, 87.21, 144.55, 27.05, 31.74, 27.77, 28.5, 24.83, 31.72]",0,113
Sri Lanka,field,South Africa,Sri Lanka,South Africa,Johannesburg,"[3, 3, 1, 4, 1, 8, 2, 10, 10, 10, 10]",1.0,"[96.64, 130.92, 88.6, 87.21, 78.84, 144.55, 31.74, 27.77, 27.27, 28.5, 24.83]",8,0
South Africa,field,New Zealand,Sri Lanka,New Zealand,Nelson,"[3, 3, 1, 4, 1, 8, 2, 10, 10, 10, 10]",1.0,"[93.41, 75.92, 92.88, 64.34, 86.6, 78.59, 32.8, 69.78, 28.87, 57.0, 67.4]",0,115
Sri Lanka,field,New Zealand,Sri Lanka,New Zealand,Mount Maunganui,"[3, 3, 1, 4, 1, 2, 8, 10, 10, 10, 10]",3.0,"[87.29, 104.69, 81.38, 83.32, 81.07, 99.93, 134.14, 33.7, 26.39, 35.73, 31.55]",0,21
New Zealand,bat,New Zealand,Sri Lanka,New Zealand,Mount Maunganui,"[2, 2, 2, 2, 7, 9, 7, 7, 10, 10, 10]",3.0,"[87.29, 104.69, 81.38, 83.32, 81.07, 99.93, 134.14, 33.7, 26.39, 35.73, 24.38]",0,45
New Zealand,bat,Sri Lanka,England,Sri Lanka,Colombo (RPS),"[2, 2, 2, 2, 7, 7, 9, 7, 10, 10, 10]",1.0,"[87.29, 104.69, 81.38, 83.32, 81.07, 134.14, 99.93, 26.39, 35.73, 31.55, 24.38]",0,219
Sri Lanka,bat,Sri Lanka,England,England,Pallekele,"[2, 2, 2, 2, 9, 7, 7, 7, 10, 10, 10]",3.0,"[93.41, 95.66, 74.24, 86.6, 91.47, 32.8, 78.59, 69.78, 35.17, 36.11, 57.0]",0,18
England,field,Sri Lanka,England,England,Pallekele,"[3, 2, 1, 4, 7, 2, 8, 7, 7, 10, 10]",2.0,"[93.41, 95.66, 74.24, 86.6, 78.59, 91.47, 32.8, 69.78, 28.87, 19.75, 36.11]",7,0
England,field,Sri Lanka,England,England,Dambulla,"[3, 2, 1, 4, 7, 2, 8, 7, 7, 10, 10]",2.0,"[93.41, 95.66, 86.6, 74.24, 32.8, 78.59, 91.47, 69.78, 28.87, 19.75, 37.12]",0,31
Sri Lanka,field,Sri Lanka,England,no result,Dambulla,"[2, 1, 7, 4, 1, 7, 4, 8, 9, 10, 10]",1.0,"[105.53, 102.92, 86.77, 91.16, 95.68, 117.11, 98.16, 89.12, 85.13, 32.04, 39.62]",0,0
Sri Lanka,field,Afghanistan,Sri Lanka,Afghanistan,Abu Dhabi,"[3, 2, 7, 2, 1, 7, 4, 7, 10, 10, 10]",3.0,"[105.53, 102.92, 86.77, 91.16, 95.68, 117.11, 98.16, 89.12, 85.13, 32.04, 39.62]",0,91
Afghanistan,bat,Bangladesh,Sri Lanka,Bangladesh,Dubai (DSC),"[2, 5, 2, 2, 7, 7, 9, 7, 7, 10, 10]",2.0,"[88.48, 69.77, 71.45, 66.77, 68.6, 86.62, 138.54, 124.92, 20.48, 29.45, 28.34]",0,137
Bangladesh,bat,Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),"[2, 5, 2, 2, 7, 7, 9, 7, 7, 10, 10]",2.0,"[78.52, 86.64, 82.84, 79.74, 77.52, 76.92, 82.76, 78.34, 32.93, 34.31, 26.26]",0,178
Sri Lanka,bat,Sri Lanka,South Africa,Sri Lanka,Pallekele,"[1, 2, 3, 4, 8, 4, 9, 7, 10, 10, 10]",1.0,"[93.41, 75.92, 92.88, 86.6, 82.9, 78.59, 32.8, 91.47, 69.78, 32.42, 32.28]",0,3
South Africa,field,Sri Lanka,South Africa,South Africa,Pallekele,"[5, 2, 2, 2, 7, 8, 9, 7, 10, 10, 10]",3.0,"[93.41, 75.92, 86.6, 92.88, 82.9, 78.59, 32.8, 91.47, 69.78, 32.42, 32.28]",0,78
Sri Lanka,field,Sri Lanka,South Africa,South Africa,Dambulla,"[2, 5, 2, 2, 7, 8, 9, 7, 10, 10, 10]",2.0,"[88.39, 96.64, 130.92, 88.6, 84.55, 144.55, 31.74, 78.84, 27.77, 31.72, 28.5]",4,0
Sri Lanka,bat,Sri Lanka,South Africa,South Africa,Dambulla,"[7, 5, 2, 2, 2, 9, 5, 7, 10, 10, 10]",2.0,"[75.92, 93.41, 86.6, 92.88, 82.9, 108.55, 32.8, 69.78, 32.42, 46.7, 36.11]",5,0
Sri Lanka,bat,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[3, 2, 7, 2, 7, 4, 10, 7, 10, 10, 10]",1.0,"[93.41, 75.92, 86.6, 92.88, 82.9, 108.55, 32.8, 69.78, 32.42, 57.0, 32.28]",0,79
Sri Lanka,bat,Bangladesh,Sri Lanka,Sri Lanka,Mirpur,"[1, 5, 4, 2, 8, 5, 2, 10, 10, 10, 10]",1.0,"[86.82, 75.92, 86.6, 93.41, 74.24, 32.8, 79.41, 69.78, 31.0, 32.42, 35.17]",10,0
Bangladesh,bat,Sri Lanka,Zimbabwe,Sri Lanka,Mirpur,"[3, 2, 7, 2, 7, 4, 10, 7, 9, 10, 10]",2.0,"[78.52, 74.77, 82.84, 79.74, 76.92, 91.23, 38.2, 79.81, 32.93, 34.31, 26.26]",5,0
Zimbabwe,bat,Bangladesh,Sri Lanka,Bangladesh,Mirpur,"[1, 5, 4, 2, 8, 5, 2, 10, 10, 10, 10]",2.0,"[73.21, 80.25, 76.08, 76.64, 86.43, 76.81, 67.51, 30.22, 36.0, 32.62, 32.7]",0,163
Bangladesh,bat,Sri Lanka,Zimbabwe,Zimbabwe,Mirpur,"[7, 5, 2, 7, 2, 5, 9, 7, 7, 10, 10]",2.0,"[78.52, 74.77, 82.84, 79.74, 76.92, 91.23, 32.93, 79.81, 29.67, 34.31, 26.26]",0,12
